month,group,total
2023-06,STERILISASI_CSSD,42788027.027
2023-06,UROLOGI,33153137.838
2023-07,APD_HIGIENE,161477420.537
2023-07,BEDAH_OK,305060344.842
2023-07,DBD,313836721.357
2023-07,DIAGNOSTIK,78455912.58
2023-07,FARMASI,24361937.387000002
2023-07,LABORATORIUM,16224000.0
2023-07,OBGYN,7137000.0
2023-07,OPERASIONAL_RS,115138018.289
2023-07,PANDEMI_COVID,12354909.909
2023-07,PERAWATAN_LUKA,67162466.892
2023-07,RESPIRATORIUM,265184379.35
2023-07,SPUIT_INJEKSI,516871955.64900005
2023-07,STERILISASI_CSSD,15834775.675999999
2023-07,UROLOGI,56879760.631
2023-08,APD_HIGIENE,185895555.86
2023-08,BEDAH_OK,307399280.805
2023-08,CAPITAL_EQUIP,20750000.0
2023-08,DBD,423746039.30799997
2023-08,DIAGNOSTIK,104179352.182
2023-08,FARMASI,27998070.0
2023-08,IMUNISASI,4858900.0
2023-08,LABORATORIUM,6202276.0
2023-08,NEONATAL,14395100.0
2023-08,OBGYN,8952000.0
2023-08,OPERASIONAL_RS,70255414.324
2023-08,PANDEMI_COVID,16007456.887
2023-08,PERAWATAN_LUKA,220386719.76099998
2023-08,RESPIRATORIUM,260517513.535
2023-08,SPUIT_INJEKSI,165443296.088
2023-08,STERILISASI_CSSD,22561595.73
2023-08,UROLOGI,33710572.97
2023-09,APD_HIGIENE,99680180.342
2023-09,BEDAH_OK,283617922.938
2023-09,DBD,287343752.408
2023-09,DIAGNOSTIK,53982273.6
2023-09,FARMASI,15054800.0
2023-09,IMUNISASI,2472972.973
2023-09,OBGYN,1835000.0
2023-09,OPERASIONAL_RS,49011222.4
2023-09,PANDEMI_COVID,15073621.351
2023-09,PERAWATAN_LUKA,79377371.532
2023-09,RESPIRATORIUM,144947013.31
2023-09,SPUIT_INJEKSI,134732646.411
2023-09,STERILISASI_CSSD,22899245.946000002
2023-09,UROLOGI,36237142.18
2023-10,APD_HIGIENE,135024034.498
2023-10,BEDAH_OK,224269250.067
2023-10,CAPITAL_EQUIP,9826200.0
2023-10,DBD,531347634.69200003
2023-10,DIAGNOSTIK,79138815.472
2023-10,FARMASI,19003960.0
2023-10,IMUNISASI,46828843.78
2023-10,LABORATORIUM,10444000.0
2023-10,NEONATAL,3867899.676
2023-10,OPERASIONAL_RS,61915914.559
2023-10,PANDEMI_COVID,8098594.595
2023-10,PERAWATAN_LUKA,81879996.054
2023-10,RESPIRATORIUM,164990060.078
2023-10,SPUIT_INJEKSI,82943732.321
2023-10,STERILISASI_CSSD,54061902.703
2023-10,UROLOGI,49075962.626
2023-11,APD_HIGIENE,192529711.28
2023-11,BEDAH_OK,445171561.45
2023-11,CAPITAL_EQUIP,442305202.7
2023-11,DBD,369440319.647
2023-11,DIAGNOSTIK,146906842.838
2023-11,FARMASI,23113188.324
2023-11,LABORATORIUM,32779500.0
2023-11,NEONATAL,6000000.0
2023-11,OBGYN,6750000.0
2023-11,OPERASIONAL_RS,84294321.73
2023-11,PANDEMI_COVID,9646193.694
2023-11,PERAWATAN_LUKA,105346591.027
2023-11,RESPIRATORIUM,265616732.261
2023-11,SPUIT_INJEKSI,527026630.92
2023-11,STERILISASI_CSSD,39035924.0
2023-11,UROLOGI,33418568.919
2023-12,APD_HIGIENE,99646245.495
2023-12,BEDAH_OK,202880035.586
2023-12,CAPITAL_EQUIP,48706126.13
2023-12,DBD,248642845.86699998
2023-12,DIAGNOSTIK,36623165.455
2023-12,FARMASI,11529162.162
2023-12,IMUNISASI,907000.0
2023-12,LABORATORIUM,12860250.0
2023-12,OPERASIONAL_RS,88326737.91
2023-12,PANDEMI_COVID,9704600.0
2023-12,PERAWATAN_LUKA,9683657.982
2023-12,RESPIRATORIUM,257217864.751
2023-12,SPUIT_INJEKSI,103993412.456
2023-12,STERILISASI_CSSD,58875100.0
2023-12,UROLOGI,14248606.0
2024-01,APD_HIGIENE,72593937.01099999
2024-01,BEDAH_OK,224196041.61699998
2024-01,CAPITAL_EQUIP,6958800.0
2024-01,DBD,445836712.667
2024-01,DIAGNOSTIK,114460470.151
2024-01,FARMASI,22700904.0
2024-01,LABORATORIUM,7729747.2
2024-01,OBGYN,3360000.0
2024-01,OPERASIONAL_RS,42262690.45
2024-01,PANDEMI_COVID,8090885.9
2024-01,PERAWATAN_LUKA,109125741.59
2024-01,RESPIRATORIUM,150114510.561
2024-01,SPUIT_INJEKSI,329126818.677
2024-01,STERILISASI_CSSD,25372276.0
2024-01,UROLOGI,6456076.865
2024-02,APD_HIGIENE,180379377.536
2024-02,BEDAH_OK,275511663.496
2024-02,DBD,280331361.616
2024-02,DIAGNOSTIK,140432202.691
2024-02,FARMASI,15487121.11
2024-02,IMUNISASI,10353512.865
2024-02,LABORATORIUM,1455000.0
2024-02,NEONATAL,30044500.0
2024-02,OBGYN,10670000.0
2024-02,OPERASIONAL_RS,60407641.84
2024-02,PANDEMI_COVID,4850600.0
2024-02,PERAWATAN_LUKA,78411654.737
2024-02,RESPIRATORIUM,115236842.01799999
2024-02,SPUIT_INJEKSI,226902558.45499998
2024-02,STERILISASI_CSSD,56454660.0
2024-02,UROLOGI,20417084.234
2024-03,APD_HIGIENE,32050521.0
2024-03,BEDAH_OK,260782091.739
2024-03,DBD,253892824.695
2024-03,DIAGNOSTIK,57933024.769999996
2024-03,FARMASI,11442320.0
2024-03,IMUNISASI,33932567.566
2024-03,LABORATORIUM,2101240.0
